class,0,1,2,3,4,5,6,7
0,28.0,336.0,47.0,48.0,128.0,103.0,35.0,99.0
0,51.0,174.0,57.0,51.0,111.0,114.0,49.0,102.0
0,67.0,203.0,60.0,61.0,110.0,111.0,77.0,122.0
0,60.0,137.0,57.0,84.0,122.0,139.0,62.0,63.0
0,71.0,81.0,64.0,65.0,104.0,130.0,78.0,102.0
0,83.0,222.0,82.0,106.0,135.0,173.0,92.0,145.0
0,56.0,134.0,68.0,85.0,158.0,166.0,60.0,117.0
0,63.0,206.0,70.0,82.0,126.0,144.0,68.0,105.0
0,60.0,282.0,88.0,87.0,145.0,161.0,72.0,146.0
0,53.0,122.0,49.0,77.0,86.0,123.0,56.0,64.0
0,25.0,258.0,71.0,40.0,110.0,101.0,19.0,92.0
0,72.0,80.0,39.0,90.0,71.0,120.0,96.0,65.0
0,24.0,207.0,59.0,34.0,99.0,88.0,27.0,117.0
0,17.0,188.0,33.0,35.0,93.0,67.0,20.0,55.0
0,26.0,186.0,41.0,44.0,112.0,79.0,31.0,121.0
0,46.0,150.0,55.0,61.0,116.0,117.0,45.0,105.0
0,23.0,191.0,30.0,35.0,87.0,72.0,20.0,54.0
0,52.0,165.0,58.0,83.0,97.0,131.0,54.0,94.0
0,36.0,161.0,54.0,52.0,88.0,95.0,44.0,96.0
0,37.0,128.0,62.0,54.0,146.0,118.0,46.0,115.0
0,74.0,136.0,53.0,85.0,112.0,130.0,100.0,120.0
0,6.0,180.0,18.0,18.0,52.0,29.0,12.0,52.0
0,48.0,155.0,63.0,65.0,97.0,114.0,61.0,135.0
0,138.0,335.0,101.0,145.0,232.0,245.0,158.0,182.0
0,27.0,241.0,82.0,54.0,119.0,136.0,29.0,159.0
0,64.0,228.0,71.0,88.0,142.0,140.0,84.0,147.0
0,50.0,140.0,55.0,56.0,86.0,114.0,46.0,69.0
0,59.0,217.0,51.0,65.0,99.0,114.0,60.0,150.0
0,18.0,201.0,50.0,36.0,41.0,68.0,31.0,101.0
0,28.0,157.0,53.0,44.0,88.0,105.0,28.0,81.0
0,44.0,185.0,61.0,62.0,101.0,116.0,53.0,107.0
0,17.0,152.0,46.0,29.0,104.0,74.0,18.0,78.0
0,35.0,205.0,23.0,42.0,50.0,62.0,35.0,69.0
0,22.0,206.0,29.0,28.0,54.0,63.0,26.0,47.0
0,93.0,134.0,44.0,86.0,92.0,128.0,83.0,79.0
0,31.0,147.0,43.0,46.0,106.0,91.0,35.0,89.0
0,29.0,165.0,29.0,40.0,69.0,73.0,28.0,62.0
0,30.0,202.0,47.0,54.0,98.0,96.0,41.0,96.0
0,19.0,193.0,28.0,38.0,58.0,67.0,19.0,33.0
1,30.0,220.0,30.0,39.0,79.0,66.0,35.0,47.0
1,35.0,302.0,44.0,40.0,95.0,86.0,28.0,82.0
1,33.0,287.0,53.0,44.0,69.0,85.0,37.0,105.0
1,48.0,242.0,61.0,71.0,85.0,138.0,50.0,52.0
1,48.0,207.0,61.0,66.0,102.0,125.0,56.0,74.0
1,100.0,150.0,91.0,125.0,149.0,197.0,115.0,92.0
1,38.0,204.0,39.0,45.0,52.0,84.0,38.0,47.0
1,49.0,235.0,60.0,59.0,112.0,128.0,55.0,88.0
1,14.0,230.0,31.0,30.0,91.0,59.0,19.0,53.0
1,27.0,216.0,42.0,27.0,67.0,73.0,25.0,64.0
1,80.0,210.0,69.0,80.0,106.0,142.0,80.0,81.0
1,54.0,282.0,46.0,54.0,66.0,101.0,75.0,91.0
1,70.0,188.0,65.0,93.0,85.0,149.0,84.0,95.0
1,37.0,214.0,38.0,50.0,77.0,82.0,57.0,66.0
1,85.0,161.0,71.0,102.0,134.0,171.0,100.0,110.0
1,33.0,254.0,32.0,45.0,47.0,79.0,38.0,72.0
1,59.0,142.0,63.0,65.0,111.0,120.0,80.0,120.0
1,41.0,227.0,43.0,47.0,74.0,91.0,48.0,65.0
1,123.0,182.0,55.0,112.0,114.0,169.0,131.0,85.0
1,24.0,252.0,33.0,36.0,67.0,68.0,25.0,61.0
1,27.0,223.0,44.0,46.0,65.0,80.0,33.0,62.0
1,60.0,136.0,51.0,59.0,87.0,108.0,72.0,65.0
1,88.0,118.0,49.0,89.0,89.0,123.0,87.0,86.0
1,37.0,258.0,39.0,41.0,66.0,78.0,41.0,64.0
1,13.0,223.0,19.0,22.0,46.0,41.0,14.0,37.0
1,130.0,268.0,36.0,148.0,56.0,175.0,146.0,55.0
1,27.0,233.0,40.0,43.0,72.0,89.0,34.0,57.0
1,49.0,222.0,39.0,51.0,74.0,94.0,56.0,57.0
1,36.0,373.0,51.0,63.0,70.0,106.0,53.0,80.0
1,48.0,261.0,37.0,59.0,68.0,90.0,53.0,83.0
1,23.0,215.0,36.0,46.0,63.0,72.0,27.0,60.0
1,17.0,257.0,24.0,26.0,43.0,48.0,29.0,45.0
1,30.0,250.0,43.0,52.0,87.0,86.0,32.0,74.0
1,100.0,241.0,96.0,107.0,151.0,196.0,103.0,132.0
1,17.0,262.0,42.0,38.0,60.0,73.0,27.0,96.0
1,102.0,198.0,58.0,115.0,91.0,175.0,112.0,90.0
1,54.0,129.0,57.0,54.0,115.0,117.0,65.0,94.0
1,33.0,238.0,48.0,41.0,104.0,88.0,39.0,79.0
1,50.0,173.0,63.0,54.0,103.0,126.0,71.0,68.0
2,26.0,340.0,38.0,33.0,71.0,79.0,26.0,73.0
2,12.0,353.0,34.0,25.0,59.0,52.0,20.0,43.0
2,21.0,307.0,62.0,29.0,121.0,95.0,42.0,112.0
2,149.0,227.0,59.0,182.0,132.0,238.0,175.0,110.0
2,90.0,284.0,105.0,108.0,133.0,209.0,99.0,150.0
2,185.0,217.0,88.0,221.0,173.0,266.0,219.0,135.0
2,38.0,217.0,32.0,49.0,69.0,73.0,36.0,56.0
2,25.0,328.0,30.0,29.0,72.0,55.0,36.0,68.0
2,68.0,329.0,54.0,73.0,92.0,132.0,70.0,71.0
2,27.0,284.0,50.0,49.0,124.0,95.0,33.0,58.0
2,43.0,291.0,44.0,45.0,74.0,92.0,46.0,57.0
2,12.0,399.0,41.0,24.0,57.0,73.0,18.0,62.0
2,25.0,323.0,51.0,41.0,92.0,97.0,38.0,73.0
2,26.0,252.0,49.0,43.0,72.0,81.0,41.0,55.0
2,30.0,402.0,33.0,31.0,59.0,50.0,32.0,43.0
2,8.0,426.0,19.0,25.0,50.0,31.0,18.0,36.0
2,160.0,254.0,77.0,216.0,138.0,271.0,186.0,125.0
2,44.0,198.0,37.0,66.0,61.0,103.0,52.0,58.0
2,48.0,224.0,77.0,61.0,82.0,132.0,50.0,75.0
2,42.0,274.0,49.0,41.0,114.0,101.0,47.0,72.0
2,21.0,350.0,34.0,25.0,69.0,53.0,19.0,50.0
2,61.0,227.0,80.0,88.0,106.0,167.0,68.0,118.0
2,53.0,304.0,52.0,68.0,72.0,127.0,58.0,58.0
2,18.0,315.0,17.0,28.0,44.0,40.0,17.0,31.0
2,30.0,404.0,40.0,46.0,88.0,78.0,53.0,101.0
2,6.0,318.0,30.0,14.0,36.0,39.0,4.0,59.0
2,116.0,254.0,52.0,147.0,99.0,192.0,143.0,79.0
2,34.0,295.0,50.0,49.0,71.0,98.0,52.0,64.0
2,81.0,264.0,48.0,84.0,61.0,122.0,81.0,70.0
2,12.0,323.0,32.0,30.0,62.0,57.0,16.0,53.0
2,17.0,300.0,31.0,26.0,57.0,72.0,19.0,75.0
2,26.0,211.0,32.0,32.0,55.0,64.0,27.0,49.0
2,29.0,206.0,62.0,44.0,103.0,113.0,33.0,115.0
3,60.0,279.0,63.0,65.0,100.0,132.0,66.0,69.0
3,55.0,445.0,67.0,72.0,137.0,142.0,64.0,89.0
3,11.0,405.0,22.0,26.0,39.0,41.0,17.0,29.0
3,7.0,336.0,19.0,31.0,40.0,42.0,22.0,54.0
3,61.0,219.0,50.0,76.0,91.0,112.0,73.0,78.0
3,27.0,425.0,58.0,48.0,90.0,102.0,35.0,69.0
3,30.0,210.0,26.0,35.0,51.0,64.0,39.0,44.0
3,39.0,387.0,62.0,62.0,90.0,110.0,48.0,85.0
3,55.0,415.0,88.0,66.0,132.0,160.0,71.0,139.0
3,17.0,491.0,28.0,27.0,61.0,54.0,19.0,29.0
3,33.0,255.0,55.0,41.0,74.0,104.0,39.0,104.0
3,8.0,365.0,33.0,13.0,48.0,47.0,7.0,65.0
3,93.0,176.0,60.0,95.0,85.0,151.0,89.0,105.0
3,36.0,277.0,48.0,47.0,91.0,84.0,36.0,108.0
3,36.0,385.0,51.0,55.0,64.0,100.0,40.0,60.0
3,111.0,129.0,31.0,119.0,60.0,138.0,129.0,41.0
3,29.0,337.0,76.0,37.0,104.0,107.0,31.0,101.0
3,31.0,399.0,70.0,45.0,96.0,119.0,36.0,104.0
3,14.0,304.0,28.0,25.0,46.0,53.0,12.0,54.0
3,45.0,380.0,38.0,46.0,50.0,83.0,66.0,70.0
3,191.0,385.0,105.0,210.0,200.0,307.0,202.0,181.0
3,134.0,212.0,88.0,157.0,171.0,237.0,172.0,112.0
3,13.0,319.0,29.0,28.0,56.0,54.0,12.0,30.0
3,57.0,209.0,54.0,70.0,101.0,119.0,64.0,93.0
3,14.0,473.0,27.0,21.0,45.0,41.0,15.0,34.0
3,52.0,328.0,52.0,58.0,82.0,106.0,55.0,72.0
3,133.0,213.0,53.0,156.0,83.0,203.0,172.0,99.0
3,37.0,295.0,48.0,41.0,62.0,82.0,39.0,73.0
3,51.0,146.0,53.0,58.0,102.0,110.0,57.0,122.0
3,35.0,327.0,58.0,56.0,81.0,101.0,42.0,51.0
3,10.0,518.0,30.0,10.0,48.0,38.0,11.0,23.0
3,18.0,357.0,55.0,34.0,115.0,92.0,17.0,86.0
3,143.0,328.0,97.0,148.0,178.0,265.0,150.0,122.0
4,31.0,467.0,57.0,50.0,82.0,105.0,36.0,69.0
4,38.0,319.0,39.0,56.0,77.0,94.0,47.0,78.0
